year,age,corpus_start,household_expense,school_fees,graduation_fees,marriage_expense
2025,42,12500000.0,540000.0,153912.54999999996,0.0,0.0
2026,43,13306087.450000001,577800.0,164686.42849999998,0.0,0.0
2027,44,13894209.766500002,618246.0,202646.65026924992,0.0,0.0
2028,45,14462738.092880754,661523.2200000001,216831.91578809745,0.0,0.0
2029,46,15030656.766380733,707829.8454000001,266811.67237725394,0.0,0.0
2030,47,15559080.925241552,757377.9345780002,0.0,350637.9326750001,0.0
2031,48,16006973.150512708,810394.3899984603,0.0,375182.5879622501,0.0
2032,49,16422093.48760327,867121.9972983525,0.0,401445.36911960767,0.0
2033,50,16795735.46994564,927820.5371092373,0.0,429546.5449579802,0.0
2034,51,17117941.93487299,992767.974706884,0.0,0.0,0.0
2035,52,17836968.153653406,1062261.732936366,0.0,0.0,0.0
2036,53,18558403.23608238,1136620.0542419117,0.0,0.0,0.0
2037,54,19277623.505448706,1216183.4580388453,0.0,0.0,0.0
2038,55,19989202.397954736,1301316.3001015647,0.0,0.0,0.0
2039,56,20686806.33764865,1392408.4411086743,0.0,0.0,1031413.6600804995
2040,57,20331664.87022434,1489877.0319862815,0.0,0.0,0.0
2041,58,20874954.325260498,1594168.4242253215,0.0,0.0,0.0
2042,59,21368281.333561227,1705760.2139210938,0.0,0.0,0.0
2043,60,21799349.25299626,1825163.4288955706,0.0,0.0,0.0
2044,61,22154120.749400318,1952924.8689182608,0.0,0.0,0.0
2045,62,22416607.95542209,2089629.609742539,0.0,0.0,0.0
2046,63,22568639.14122176,2235903.682424517,0.0,0.0,0.0
2047,64,22589599.372919425,2392416.9401942333,0.0,0.0,0.0
2048,65,22456142.370017137,2559886.12600783,0.0,0.0,0.0
2049,66,22141870.481011026,2739078.154828378,0.0,0.0,0.0
2050,67,21616979.374283753,2930813.6256663646,0.0,0.0,0.0
2051,68,20847863.686045766,3135970.5794630107,0.0,0.0,0.0
2052,69,19796679.47518733,3355488.5200254214,0.0,0.0,0.0
2053,70,18420858.902680647,3590372.716427201,0.0,0.0,0.0
2054,71,16672572.07652151,3841698.8065771055,0.0,0.0,0.0
2055,72,14498130.477596559,4110617.7230375027,0.0,0.0,0.0
2056,73,11837325.802318715,4398360.963650129,0.0,0.0,0.0
2057,74,8622697.41890046,4706246.231105638,0.0,0.0,0.0
2058,75,4778720.929684869,5035683.467283033,0.0,0.0,0.0
2059,76,220909.55537032336,5388181.309992845,0.0,0.0,0.0
